,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
103,Gm2a,0.5850885086508033,0.0120232544671127,0.1197785310162668,0.3200137774984752,0.1113662112582054,0.5730711448647847,-0.1456376903598205,0.3492769316180421,0.9999543473702648
104,Krit1,-0.0541092877009926,0.7726826480230222,0.9398660828167404,-0.0742462338570646,0.7161592490279642,0.9474662053756748,-0.2334714583407585,0.1532438020459318,0.9999543473702648
105,Clcn4,-0.1623141819806228,0.4637432427163546,0.81953859663773,-0.0013287166436314,0.9954752467295412,0.9994249350339914,0.1440339936108504,0.359343384776112,0.9999543473702648
106,Vmn2r88,,,,,,,,,
107,Grm6,-2.1643260741220014,0.1743897626932041,,-3.526909978549152,0.3330357655470839,,1.6219938394522797,0.5981396657744624,0.9999543473702648
108,Sema4f,-0.958803157988294,0.8044496950365305,,2.488930547157474,0.3735360292261004,,-0.7801967818680164,0.8758970267260253,0.9999543473702648
109,Hk2,-0.6213637899665113,0.3177903326476282,0.7194352397388997,-1.9228327475656688,0.00430138692253,0.1002216292683272,-1.0080766757268047,0.155557358959969,0.9999543473702648
110,Myo18a,-0.0291510444796683,0.8964407049880909,0.976049449148357,-0.2151771418647086,0.2836221594973478,0.7803081220521194,0.0428185661274267,0.7712858392330371,0.9999543473702648
111,Sez6,2.0303686546567468,0.1057633293184234,,2.745965373688987,0.1618049393538806,,0.4866358471017903,0.6514214215469591,0.9999543473702648
112,Haao,0.7567795133915756,0.5229945911589167,,-2.2169083717676785,0.413088596283969,,-0.2242196787004115,0.8425244215806359,0.9999543473702648
113,Cd52,-0.2224186770591661,0.7123681750661115,0.92352820449515,-1.635728447266005,0.0357633910495497,0.3552988948945366,-0.3603049034660788,0.6289363776285446,0.9999543473702648
114,Abhd15,0.231294746653237,0.692562669622653,0.916961354426894,-2.1368528500460173,0.061352753143294,,0.1123798320044429,0.8855227866971617,0.9999543473702648
115,Hoxb6,,,,,,,,,
116,Loxl3,-0.7852272528422635,0.4934585043751124,0.8364906632690857,-0.5329283504915863,0.0883268300864622,0.5287054387360612,0.4906574355063753,0.0399812584619134,0.9999543473702648
117,Tcl1b5,,,,,,,,,
119,Btn1a1,1.6247795062663055,0.6320727262564603,,-0.7263847876965988,0.8843568514279219,,4.245099114080923,0.2145714887111759,0.9999543473702648
120,Kat2b,0.1308505975372463,0.4473069862444002,0.8119791468810093,-0.0226875518488068,0.9206700434684912,0.988333936653731,0.0777293451642557,0.6035724625625988,0.9999543473702648
121,Rab5b,0.2961433864660795,0.0641472179277107,0.342153396922403,0.5030652950340035,0.0499370114615014,0.4129743165452462,0.0744389854033312,0.5755935856126654,0.9999543473702648
122,Cryba1,-0.3414521677135295,0.4460587399488032,0.8107863956697364,-0.0377632832159264,0.9271380155949344,0.988333936653731,0.0720643349979078,0.8442946200045135,0.9999543473702648
123,Dnmt3l,3.465547788746106,0.3349070874677744,,,,,,,
124,Aire,1.7279676753967137,0.6902405633878042,,-1.5209961526854516,0.7567914633791787,,,,
125,Icosl,-0.688930406861529,0.0039416296624569,0.0538580453109231,-0.3977608034222766,0.151906870129639,0.642983362840509,0.0009609516163675,0.996350950276318,0.9999543473702648
126,Spg7,0.1429582821266813,0.4946494519744348,0.8375875075610658,0.0445799885295861,0.8484805098986294,0.9780205522825788,-0.068745415190135,0.7111517456514964,0.9999543473702648
127,Sult5a1,1.3527504664020789,0.0437278472018602,0.2722870873951908,0.5639101100071873,0.4211559550088708,0.8572593085505877,-0.2445306443760112,0.6766937050433093,0.9999543473702648
128,Rpl13,-0.115060034110341,0.4721254803382548,0.8245436520752267,0.0874058703567669,0.7124543585951597,0.9470980151074578,0.0410950044333506,0.7321441542229944,0.9999543473702648
129,Chmp1a,0.2812499312144683,0.1725515691213784,0.5594199873160512,0.0500255272523977,0.8271624273606363,0.9723779826110144,-0.1974530982625978,0.323024762149154,0.9999543473702648
130,Rpa1,0.0979750363973644,0.6923653076778675,0.916951357607876,0.1410970406928315,0.5327419242769132,0.8977780206363128,0.0031991979369991,0.9859180756573562,0.9999543473702648
131,Serpinf1,-0.7305010970218072,0.0176482356029742,0.1537762822176821,-0.9396630344646076,0.0026258190863979,0.0710381315429403,-0.0434833363990229,0.8784303996674001,0.9999543473702648
132,Tubgcp3,0.1832751425181407,0.2861878199457338,0.6887432143258803,0.102751381066666,0.6137361416479609,0.9200688859245828,0.1568579772131637,0.2805208355628191,0.9999543473702648
133,Oprm1,-2.1227878125390545,0.4050351537334334,,2.0546261050684955,0.3809495990745629,,,,
134,Polr3d,-0.8693959824332046,3.711726452694531e-05,0.0014701621075632,0.1630389143242067,0.5723689149753701,0.9095525600588108,0.1928103585021111,0.4238865995605924,0.9999543473702648
135,Tcf7,0.3980247511488046,0.0596602177537996,0.3276654487340653,-0.2119347904663544,0.3552078482148041,0.8224842974157247,0.0904134411014253,0.5079523595789333,0.9999543473702648
136,Ddx3x,-0.051266125153449,0.7546859416932031,0.9337508264307036,-0.1299496696014542,0.4774977964362847,0.8792481818755008,-0.07459144516138,0.6262253883013721,0.9999543473702648
137,Il12rb1,-3.649399741721748,0.2102420988171905,,-4.057593196400229,0.1952336704009324,,0.5162553842923407,0.8418848200782371,0.9999543473702648
138,Slc5a5,-0.6528346844240053,0.5608615645418966,0.8677525138278334,0.177530971272727,0.5766765726509402,0.909987907740072,0.3866000373546449,0.1229357417793519,0.9999543473702648
139,Kcnn3,0.559136537649426,0.6387137211640468,,-0.6687196572610868,0.6626420055628286,,-0.1185329761017835,0.9029465273236188,0.9999543473702648
140,Usp32,0.0801972380433738,0.6613409831328516,0.9043056429659976,-0.0967211022067249,0.6633415656081993,0.9382655752983492,-0.13182213148979,0.3183255012800213,0.9999543473702648
141,Car4,1.0525583770008682,1.2515817259087338e-07,1.33027830349465e-05,0.7102505367486894,0.0001173188330759,0.0072316912759753,0.0585937103421239,0.6825214782293436,0.9999543473702648
142,Txnrd3,-0.1360887691439592,0.6136189899461748,0.8876724754825948,-0.0032760412414438,0.9896943789627396,0.9971341505011492,0.2116556651920908,0.3280028757864228,0.9999543473702648
143,Fasl,-0.0562099899095074,0.9631591002790326,,-1.8939026302654869,0.3377186241740063,,-0.3415056339135013,0.7978671615066989,0.9999543473702648
144,Zfp512b,0.3981302445926234,0.0936974385171092,0.4173307074620959,-0.3315698765175301,0.1279526456373105,0.604547283349117,0.0569345234064436,0.7287566220934037,0.9999543473702648
145,Dnajc5,-0.0450811719891036,0.7875902310646562,0.944622347276281,-0.2960224974501214,0.134167608547712,0.6183137518213013,0.0872975492036685,0.506724713273814,0.9999543473702648
146,Tpd52l2,-0.5256631600548383,0.0015205867761015,0.0268080537352322,-0.0001447398637491,0.9993861776637324,0.9998032523777683,0.0285909221822292,0.8227270361982739,0.9999543473702648
147,Fmr1,-0.0500191572010496,0.8132923869532802,0.9520759247142948,0.0096116285132574,0.9611532917737862,0.993747346839568,-0.1424769324970798,0.3629269456453846,0.9999543473702648
148,Bcl11a,0.6499349931905519,0.636782344988859,,-1.1112807284784632,0.3777208520118673,,-1.2344875230968215,0.2661443026134111,0.9999543473702648
149,Il4,-3.117327662990119,0.0675489252972156,,-2.0175395427978007,0.4418961401841448,,-0.612334681752044,0.6293091813892875,0.9999543473702648
150,Pxmp4,0.3713750707879346,0.0818943749301256,0.3910119783035278,0.0730873581043038,0.755371629682588,0.9597550996109104,-0.0423403270323901,0.8128589888529058,0.9999543473702648
151,Dlg3,-0.2957023787372744,0.4323072553496797,0.8014691166440165,0.204875692799447,0.6046613782199421,0.9197657824264512,0.3429446872579935,0.2611791575621637,0.9999543473702648
152,Gnb1l,-0.2570801022309104,0.5700955541718558,0.8713441602238979,0.2363280638797873,0.6506412111723474,0.933714877604796,-0.3995616858487708,0.4375454967558114,0.9999543473702648
153,Dbh,-1.9907728421723487,5.041602419773723e-16,3.72423170748685e-13,7.165735560150631,6.749044784251151e-10,2.2408362557528426e-07,-0.4999464922083486,0.1671767860453902,0.9999543473702648
154,Mmp11,-0.9337158747379204,0.0674848074984685,0.3522088597043107,-1.814887507256196,0.0236889657015324,0.2834333332790238,0.101416636927798,0.753659056187656,0.9999543473702648
155,Smarcb1,-0.3070656890592054,0.1360864203743483,0.501252314606977,0.0320852906972359,0.8741290317369768,0.9801974614893278,0.0008731384612146,0.9957475532867204,0.9999543473702648
156,Vpreb3,0.4875053089980803,0.7554951777228961,,-1.282184015208991,0.4242575294893953,,0.5487458804689186,0.6586868256806373,0.9999543473702648
157,Hip1r,0.4348459293073206,0.0234887073244745,0.1845290156485382,0.1278058401560994,0.5620637845685201,0.9068228427409756,0.0094018598020804,0.952075971642781,0.9999543473702648
158,Nsun5,-0.3368043928119729,0.2354000307392156,0.645334830089647,0.4299572684111028,0.1627014692903839,0.6559541971776134,-0.175665136129597,0.5119110595052305,0.9999543473702648
159,Top1mt,-0.2938036714235288,0.3818823747735314,0.7674562480850882,-0.3338550152335821,0.4525166314550256,0.867674953265057,0.1632403046143379,0.6739123565637828,0.9999543473702648
160,Hoxa10,,,,3.998896901773334,0.2982086282827658,,,,
161,Hoxa4,,,,,,,,,
162,Gm38393,0.3683741526811055,0.0881876262216077,0.4069696337885088,0.5569756156125295,0.0425140424819707,0.3862485364546703,0.0045290377548574,0.9850074707264868,0.9999543473702648
163,Mmp14,-1.9099570908030543,7.751030389049778e-07,6.253722861384974e-05,-1.1595924158273982,0.0002601550313663,0.0133162499027285,0.4463391043690179,0.0802474972003282,0.9999543473702648
164,Slc7a7,-0.4103139508787832,0.0810618873529227,0.3890515507432993,-1.1647512859959257,2.7818256702372365e-05,0.0023090733645736,-0.3367519214528579,0.2705778997680178,0.9999543473702648
165,Oxa1l,0.115841948770422,0.490626186981311,0.8347287879714285,-0.2680212625560639,0.2129798561932776,0.7068587343489933,-0.0927848797835873,0.6005591209364884,0.9999543473702648
166,Heatr6,-0.111110578417339,0.5515354844821155,0.8640971882667557,0.0177316321606727,0.935956732138548,0.9886847615665924,0.0463692874199201,0.7910279726793833,0.9999543473702648
167,Ccl3,-0.1443848859286239,0.881180897835974,0.9718118405324042,-1.368750037166925,0.37732496330906,0.8393718713168392,-0.9635443903249048,0.4220851183166682,0.9999543473702648
