,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
6484,Socs4,-0.019934353264442,0.9090700526014698,0.973007362478939,-0.0004821653066039,0.998311787113852,0.9994276890454458,-0.1839165781928375,0.2123271355173219,0.9999068176988548
6485,Zfp407,-0.0294322289974637,0.8624501985391307,0.9592971045413066,0.4001359839011094,0.0299173745178748,0.2869618143891945,0.0144747609637873,0.9197302437636724,0.9999068176988548
6486,Timm29,-0.0773215812803239,0.6527195728271948,0.8779028139561127,0.0940292035835661,0.6101266844740726,0.8855420224478526,-0.066055275235351,0.6479230359283291,0.9999068176988548
6487,Cyp4f16,-0.0952405288622698,0.6495346401272813,0.876926011697779,-0.1706543206663472,0.4078835386111326,0.786255074630487,0.0969648223677653,0.6244867443609576,0.9999068176988548
6488,Depp1,0.5710311657955961,0.0035194568815282,0.0467856300119518,-0.6554675082704211,0.557346930119957,0.8620092498027424,-0.2852811997057913,0.0348501124654311,0.9999068176988548
6489,Nrip1,-0.7925125495142009,0.0003686871045193,0.008795611998993,0.5447869268626203,0.0089461064042232,0.163342436732989,-0.1863417723633885,0.2187682870430788,0.9999068176988548
6490,Tyw5,-0.0438116189628221,0.849052969984274,0.9556088752692792,-0.1555636131097543,0.4640218705934796,0.8192174198580021,0.1276160916971068,0.4853034855832443,0.9999068176988548
6491,Phldb1,-0.1074269257868249,0.5510523902233766,0.8336097621627557,0.0668437354345179,0.7253717117702044,0.93100862667725,0.1433714843079119,0.3866978246910183,0.9999068176988548
6492,Tob2,0.2765827737292909,0.4034637134025204,0.7384500702930272,0.4288643272727234,0.082796999770812,0.4492756660941436,0.3569995916274151,0.1223257021385598,0.9999068176988548
6493,Tmem252,-0.8085717684469599,0.0006963827446477,0.0140398597853145,0.6767289571318325,0.0014150242983579,0.056681620987592,0.25308739604651,0.1687065056989346,0.9999068176988548
